source_folder,inclination_group,inclination_sort,local_cluster_label,global_cluster_id,record_count,is_noise
starlink_labels_53.0,53.0,53,-1,0,186,1
starlink_labels_53.0,53.0,53,0,1,63,0
starlink_labels_53.0,53.0,53,1,2,9,0
starlink_labels_53.0,53.0,53,2,3,38,0
starlink_labels_53.0,53.0,53,3,4,17,0
starlink_labels_53.0,53.0,53,4,5,27,0
starlink_labels_53.0,53.0,53,5,6,15,0
starlink_labels_53.0,53.0,53,6,7,59,0
starlink_labels_53.0,53.0,53,7,8,21,0
starlink_labels_53.0,53.0,53,8,9,9,0
starlink_labels_53.0,53.0,53,9,10,13,0
starlink_labels_53.0,53.0,53,10,11,33,0
starlink_labels_53.0,53.0,53,11,12,11,0
starlink_labels_53.0,53.0,53,12,13,58,0
starlink_labels_53.0,53.0,53,13,14,30,0
starlink_labels_53.0,53.0,53,14,15,21,0
starlink_labels_53.0,53.0,53,15,16,31,0
starlink_labels_53.0,53.0,53,16,17,20,0
starlink_labels_53.0,53.0,53,17,18,21,0
starlink_labels_53.0,53.0,53,18,19,46,0
starlink_labels_53.0,53.0,53,19,20,24,0
starlink_labels_53.0,53.0,53,20,21,47,0
starlink_labels_53.0,53.0,53,21,22,46,0
starlink_labels_53.0,53.0,53,22,23,10,0
starlink_labels_53.0,53.0,53,23,24,23,0
starlink_labels_53.0,53.0,53,24,25,38,0
starlink_labels_53.0,53.0,53,25,26,24,0
starlink_labels_53.0,53.0,53,26,27,9,0
starlink_labels_53.0,53.0,53,27,28,14,0
starlink_labels_53.0,53.0,53,28,29,13,0
starlink_labels_53.2,53.2,53.2,-1,0,228,1
starlink_labels_53.2,53.2,53.2,0,30,79,0
starlink_labels_53.2,53.2,53.2,1,31,18,0
starlink_labels_53.2,53.2,53.2,2,32,18,0
starlink_labels_53.2,53.2,53.2,3,33,47,0
starlink_labels_53.2,53.2,53.2,4,34,42,0
starlink_labels_53.2,53.2,53.2,5,35,21,0
starlink_labels_53.2,53.2,53.2,6,36,19,0
starlink_labels_53.2,53.2,53.2,7,37,87,0
starlink_labels_53.2,53.2,53.2,8,38,16,0
starlink_labels_53.2,53.2,53.2,9,39,13,0
starlink_labels_53.2,53.2,53.2,10,40,27,0
starlink_labels_53.2,53.2,53.2,11,41,15,0
starlink_labels_53.2,53.2,53.2,12,42,47,0
starlink_labels_53.2,53.2,53.2,13,43,21,0
starlink_labels_53.2,53.2,53.2,14,44,18,0
starlink_labels_53.2,53.2,53.2,15,45,28,0
starlink_labels_53.2,53.2,53.2,16,46,26,0
starlink_labels_53.2,53.2,53.2,17,47,18,0
starlink_labels_53.2,53.2,53.2,18,48,37,0
starlink_labels_53.2,53.2,53.2,19,49,27,0
starlink_labels_53.2,53.2,53.2,20,50,35,0
starlink_labels_53.2,53.2,53.2,21,51,15,0
starlink_labels_53.2,53.2,53.2,22,52,13,0
starlink_labels_53.2,53.2,53.2,23,53,18,0
starlink_labels_53.2,53.2,53.2,24,54,41,0
starlink_labels_53.2,53.2,53.2,25,55,20,0
starlink_labels_53.2,53.2,53.2,26,56,23,0
starlink_labels_53.2,53.2,53.2,27,57,48,0
starlink_labels_53.2,53.2,53.2,28,58,71,0
starlink_labels_53.2,53.2,53.2,29,59,15,0
starlink_labels_53.2,53.2,53.2,30,60,82,0
starlink_labels_53.2,53.2,53.2,31,61,47,0
starlink_labels_53.2,53.2,53.2,32,62,48,0
starlink_labels_53.2,53.2,53.2,33,63,16,0
starlink_labels_53.2,53.2,53.2,34,64,25,0
starlink_labels_53.2,53.2,53.2,35,65,18,0
starlink_labels_53.2,53.2,53.2,36,66,39,0
starlink_labels_53.2,53.2,53.2,37,67,24,0
starlink_labels_70,70,70,0,68,16,0
starlink_labels_70,70,70,1,69,18,0
starlink_labels_70,70,70,2,70,21,0
starlink_labels_70,70,70,3,71,20,0
starlink_labels_70,70,70,4,72,19,0
starlink_labels_70,70,70,5,73,20,0
starlink_labels_70,70,70,6,74,19,0
starlink_labels_70,70,70,7,75,17,0
starlink_labels_70,70,70,8,76,18,0
starlink_labels_70,70,70,9,77,20,0
starlink_labels_70,70,70,10,78,16,0
starlink_labels_70,70,70,11,79,19,0
starlink_labels_70,70,70,12,80,18,0
starlink_labels_70,70,70,13,81,19,0
starlink_labels_70,70,70,14,82,18,0
starlink_labels_70,70,70,15,83,12,0
starlink_labels_70,70,70,16,84,16,0
starlink_labels_70,70,70,17,85,14,0
starlink_labels_70,70,70,18,86,17,0
starlink_labels_70,70,70,19,87,20,0
starlink_labels_70,70,70,20,88,18,0
starlink_labels_97,97,97,0,89,44,0
starlink_labels_97,97,97,1,90,45,0
starlink_labels_97,97,97,2,91,43,0
starlink_labels_97,97,97,3,92,45,0
starlink_labels_97,97,97,4,93,46,0
