record_index,timestamp,sat_id,international_designator,launch_year,launch_num,launch_piece,sma,ecc,inc,raan,aop,true_anomaly,cluster_label,is_noise,umap_1,umap_2,umap_3,source_folder,inclination_group,inclination_sort,local_cluster_label,global_cluster_id
4,2025-04-10 00:00:00,sat1013.txt,19074G,19,74,G,6925.3937,0.0001406,53.0539,241.4855,89.4266,101.3144,-1,1,7.7552972,7.960288,5.02141,starlink_labels_53.0,53.0,53,-1,0
19,2025-04-10 00:00:00,sat1047.txt,19074AR,19,74,AR,6876.8964,0.0002535,53.0636,250.4254,167.4561,322.03643,-1,1,6.7327456,8.6397066,5.9753561,starlink_labels_53.0,53.0,53,-1,0
20,2025-04-10 00:00:00,sat1048.txt,19074AS,19,74,AS,6925.3611,0.0001413,53.0541,241.6193,88.1663,262.47305,-1,1,8.746974,8.9757071,5.966785,starlink_labels_53.0,53.0,53,-1,0
27,2025-04-10 00:00:00,sat1066.txt,20001AS,20,1,AS,6925.392,0.0003533,53.0543,1.4301,78.4972,32.305832,-1,1,-3.5513599,2.3968771,3.9146864,starlink_labels_53.0,53.0,53,-1,0
36,2025-04-10 00:00:00,sat1093.txt,20001BJ,20,1,BJ,6738.5418,9.74e-05,53.0448,314.5707,170.6103,260.82478,-1,1,-2.2964652,7.8859076,4.0508208,starlink_labels_53.0,53.0,53,-1,0
37,2025-04-10 00:00:00,sat1094.txt,20001AD,20,1,AD,6925.3606,0.0002587,53.0553,21.2802,84.3713,216.4208,-1,1,-1.2723863,1.3622806,4.8241382,starlink_labels_53.0,53.0,53,-1,0
40,2025-04-10 00:00:00,sat1104.txt,20001J,20,1,J,6925.2677,0.0001184,53.0547,44.5663,87.3862,221.28065,-1,1,1.2213135,-0.94067729,5.1528692,starlink_labels_53.0,53.0,53,-1,0
56,2025-04-10 00:00:00,sat1146.txt,20006BC,20,6,BC,6925.5054,0.000162,53.0534,301.2777,101.9799,203.96486,-1,1,-1.0117565,9.4790096,6.0656724,starlink_labels_53.0,53.0,53,-1,0
57,2025-04-10 00:00:00,sat1147.txt,20006BD,20,6,BD,6925.437,0.0001904,53.0537,301.8903,84.1514,256.21191,-1,1,-0.77781945,8.8497505,5.9491177,starlink_labels_53.0,53.0,53,-1,0
73,2025-04-10 00:00:00,sat1172.txt,20006AG,20,6,AG,6925.3335,0.000179,53.0547,323.0618,90.4104,199.20465,-1,1,-3.4121902,7.7247472,5.323421,starlink_labels_53.0,53.0,53,-1,0
75,2025-04-10 00:00:00,sat1176.txt,20006AY,20,6,AY,6925.337,0.0001815,53.0556,301.2113,91.2041,134.78006,-1,1,-1.2284205,10.421351,5.3323989,starlink_labels_53.0,53.0,53,-1,0
79,2025-04-10 00:00:00,sat1185.txt,20006AV,20,6,AV,6925.2966,0.000138,53.0546,301.2491,92.7102,168.14055,-1,1,-1.2888337,10.080446,5.7858443,starlink_labels_53.0,53.0,53,-1,0
89,2025-04-10 00:00:00,sat1208.txt,20012AD,20,12,AD,6925.3788,0.0001559,53.0549,83.1577,98.0423,311.45321,-1,1,3.9375255,-6.8895087,5.5217338,starlink_labels_53.0,53.0,53,-1,0
113,2025-04-10 00:00:00,sat1255.txt,20019AR,20,19,AR,6925.4115,0.0001399,53.0543,192.1146,79.3907,145.93978,-1,1,11.22548,1.7743022,3.4696567,starlink_labels_53.0,53.0,53,-1,0
121,2025-04-10 00:00:00,sat1266.txt,20019Z,20,19,Z,6925.3659,0.0001652,53.0549,201.5176,103.493,127.12519,-1,1,10.695087,3.1388178,3.8817582,starlink_labels_53.0,53.0,53,-1,0
122,2025-04-10 00:00:00,sat1267.txt,20019AA,20,19,AA,6925.423,0.0001714,53.0535,202.2435,85.4031,224.78826,-1,1,11.972571,3.694514,3.2851267,starlink_labels_53.0,53.0,53,-1,0
123,2025-04-10 00:00:00,sat1269.txt,20012V,20,12,V,6925.3711,0.0001407,53.0532,103.3798,87.3706,232.01089,-1,1,7.1567249,-7.3358293,6.5937204,starlink_labels_53.0,53.0,53,-1,0
124,2025-04-10 00:00:00,sat1270.txt,20012BM,20,12,BM,6925.3737,0.0001139,53.0547,64.0606,87.7321,331.21532,-1,1,1.8200549,-4.2132707,4.9457712,starlink_labels_53.0,53.0,53,-1,0
125,2025-04-10 00:00:00,sat1271.txt,20012AR,20,12,AR,6925.3778,0.0001525,53.0551,83.1393,94.6519,294.89295,-1,1,4.3724065,-6.4007201,5.2963629,starlink_labels_53.0,53.0,53,-1,0
126,2025-04-10 00:00:00,sat1272.txt,20019AC,20,19,AC,6925.408,0.0001859,53.0536,201.5542,91.8635,178.84083,-1,1,11.242055,3.3745,3.3711944,starlink_labels_53.0,53.0,53,-1,0
151,2025-04-10 00:00:00,sat1309.txt,20019BG,20,19,BG,6925.4426,0.0001691,53.0545,190.7241,83.3068,262.84957,-1,1,12.539927,2.1123631,3.0013599,starlink_labels_53.0,53.0,53,-1,0
164,2025-04-10 00:00:00,sat1333.txt,20025BB,20,25,BB,6925.3415,0.0001456,53.0538,142.5235,89.272,270.67982,-1,1,10.828729,-5.8494678,3.1251357,starlink_labels_53.0,53.0,53,-1,0
166,2025-04-10 00:00:00,sat1335.txt,20025BC,20,25,BC,6925.3427,0.0001416,53.0528,132.5007,92.9775,241.99267,-1,1,10.080426,-6.3784447,4.2003875,starlink_labels_53.0,53.0,53,-1,0
168,2025-04-10 00:00:00,sat1337.txt,20025BD,20,25,BD,6925.3658,0.000162,53.0534,132.698,97.3494,117.46827,-1,1,10.713096,-5.6819863,5.6560769,starlink_labels_53.0,53.0,53,-1,0
170,2025-04-10 00:00:00,sat1342.txt,20025AD,20,25,AD,6925.3552,0.0001501,53.0536,142.7067,90.2164,129.62595,-1,1,11.371986,-4.9110856,4.9243398,starlink_labels_53.0,53.0,53,-1,0
177,2025-04-10 00:00:00,sat1356.txt,20025AK,20,25,AK,6925.3491,0.0001565,53.0549,142.7558,85.2745,194.50061,-1,1,10.378813,-4.8381538,4.1747255,starlink_labels_53.0,53.0,53,-1,0
178,2025-04-10 00:00:00,sat1357.txt,20025AL,20,25,AL,6925.3317,0.0001407,53.0535,142.4902,90.7013,229.28978,-1,1,10.299821,-5.2688022,3.4052389,starlink_labels_53.0,53.0,53,-1,0
181,2025-04-10 00:00:00,sat1362.txt,20025H,20,25,H,6925.3794,0.0001255,53.0537,161.907,87.7108,227.74755,-1,1,11.528891,-2.6819553,2.3005354,starlink_labels_53.0,53.0,53,-1,0
182,2025-04-10 00:00:00,sat1363.txt,20025AP,20,25,AP,6925.3359,0.000137,53.0532,143.1456,91.8267,7.7166077,-1,1,12.401765,-5.8945274,3.8292656,starlink_labels_53.0,53.0,53,-1,0
186,2025-04-10 00:00:00,sat1368.txt,20025K,20,25,K,6925.3622,0.0001901,53.0557,162.4661,91.8176,198.16381,-1,1,11.255101,-2.4379408,2.6113489,starlink_labels_53.0,53.0,53,-1,0
187,2025-04-10 00:00:00,sat1371.txt,20025M,20,25,M,6925.2682,0.0001474,53.0543,162.5998,81.3148,8.5385076,-1,1,13.1645,-2.6114368,2.9622331,starlink_labels_53.0,53.0,53,-1,0
191,2025-04-10 00:00:00,sat1392.txt,20035W,20,35,W,6925.3394,0.0002026,53.052,123.1751,86.4587,343.07934,-1,1,9.9274769,-8.0483437,5.4660201,starlink_labels_53.0,53.0,53,-1,0
192,2025-04-10 00:00:00,sat1394.txt,20035Y,20,35,Y,6925.4052,0.000131,53.0531,113.1885,96.3238,348.11221,-1,1,8.4649782,-8.3500347,6.4223781,starlink_labels_53.0,53.0,53,-1,0
193,2025-04-10 00:00:00,sat1398.txt,20035AU,20,35,AU,6925.3356,0.000123,53.0552,93.4575,120.2818,293.97832,-1,1,5.168014,-7.7426305,6.2540555,starlink_labels_53.0,53.0,53,-1,0
194,2025-04-10 00:00:00,sat1400.txt,20035AV,20,35,AV,6925.3499,0.0001505,53.0543,92.8774,97.064,337.67315,-1,1,5.135365,-8.0038939,6.3918309,starlink_labels_53.0,53.0,53,-1,0
195,2025-04-10 00:00:00,sat1402.txt,20035AE,20,35,AE,6925.3841,0.0001422,53.0544,107.7646,90.6084,186.79377,-1,1,7.8780489,-6.8282824,6.9514842,starlink_labels_53.0,53.0,53,-1,0
199,2025-04-10 00:00:00,sat1411.txt,20035BB,20,35,BB,6925.3259,0.0001396,53.0545,92.9447,92.1517,62.520691,-1,1,5.2518034,-7.2412934,7.5433412,starlink_labels_53.0,53.0,53,-1,0
200,2025-04-10 00:00:00,sat1412.txt,20035BC,20,35,BC,6719.9548,0.0002117,53.0531,32.1208,131.2198,248.0367,-1,1,-0.30654988,-0.25681111,4.2978539,starlink_labels_53.0,53.0,53,-1,0
201,2025-04-10 00:00:00,sat1413.txt,20035AJ,20,35,AJ,6925.3434,0.0001408,53.0535,113.2867,88.2404,116.28147,-1,1,8.6405802,-7.3984041,7.5046515,starlink_labels_53.0,53.0,53,-1,0
202,2025-04-10 00:00:00,sat1417.txt,20035AN,20,35,AN,6925.3322,0.0001495,53.0527,113.0064,84.2063,140.37153,-1,1,8.5641813,-7.043941,7.2693162,starlink_labels_53.0,53.0,53,-1,0
