global_cluster_id,count,fraction,is_noise,sma_mean,sma_std,sma_min,sma_max,ecc_mean,ecc_std,ecc_min,ecc_max,inc_mean,inc_std,inc_min,inc_max,raan_mean,raan_std,raan_min,raan_max,aop_mean,aop_std,aop_min,aop_max,true_anomaly_mean,true_anomaly_std,true_anomaly_min,true_anomaly_max,umap_1_mean,umap_1_std,umap_1_min,umap_1_max,umap_2_mean,umap_2_std,umap_2_min,umap_2_max,umap_3_mean,umap_3_std,umap_3_min,umap_3_max
0,414,0.13690476,1,6917.1932,23.366799,6719.9548,6925.6154,0.00015638816,7.6119594e-05,4.78e-05,0.0008675,53.143737,0.081314188,53.0237,53.2209,184.308,95.235274,1.4301,357.1804,94.112857,26.816234,21.4284,348.7345,176.99925,108.39104,0.025306893,359.46903,6.494005,6.0812425,-5.1493587,15.285436,2.6781133,6.2748769,-8.3500347,13.825364,5.8188278,2.1518261,2.0665574,12.038324
1,63,0.020833333,0,6901.0986,58.080245,6711.0598,6925.4135,0.00022440159,0.00017403095,3.38e-05,0.0011009,53.05333,0.0061908005,53.0251,53.0574,339.41702,43.969189,1.34,358.9517,98.036067,30.254956,67.1647,204.8068,148.17004,97.875966,8.8695195,330.57242,-4.6128373,0.65678002,-5.7885418,-2.9932833,4.7233961,1.1204887,2.8722651,6.8497787,4.324317,0.63471722,3.3962741,5.3352208
2,9,0.0029761905,0,6906.2118,38.094137,6836.5235,6925.4327,0.00018608889,7.8402446e-05,0.0001006,0.0003469,53.049789,0.0093386889,53.0252,53.0543,234.40253,2.1928839,231.7069,237.8974,121.93437,51.687137,88.7766,234.4708,182.74355,156.48429,6.5666978,359.74694,8.8139563,0.41113647,8.3133602,9.4408255,7.1621931,0.25628776,6.7228589,7.5046802,6.1477799,0.24201636,5.7166362,6.482254
3,38,0.012566138,0,6906.4313,46.016877,6755.581,6925.5903,0.00013650526,2.9458426e-05,4.16e-05,0.0002501,53.051897,0.0050378292,53.0286,53.0556,261.45408,3.88383,256.0214,266.8916,105.24145,61.591355,10.3939,330.4804,171.81202,102.15656,8.668757,347.35291,5.6172596,0.56779829,4.7192683,6.6709986,10.10997,0.56082864,9.1671114,11.102469,6.3884854,0.74129552,5.2225375,7.4417424
4,17,0.0056216931,0,6904.7143,42.948568,6772.6111,6925.3812,0.00016140588,6.3252366e-05,9.61e-05,0.0003456,53.051553,0.0044334126,53.0356,53.054,274.17415,2.5749512,270.3673,277.8488,117.93726,63.907,87.1821,345.6462,219.95278,56.899553,107.72236,325.94595,3.513992,0.50678239,2.8491256,4.2367339,10.843816,0.40776183,10.006265,11.359879,6.7378536,0.53330495,5.6910648,7.3080745
5,27,0.0089285714,0,6917.4733,31.440465,6770.4702,6925.6266,0.00018051481,0.00011761231,0.0001176,0.0006809,53.052437,0.0055416013,53.0251,53.0562,283.5772,2.8750338,276.4103,286.4748,107.19536,39.568456,80.12,255.6074,159.37827,96.755915,10.947459,346.18946,1.9879452,0.46497744,1.3142064,3.2062523,10.356588,0.60683233,9.3968868,11.165765,5.8884776,0.54402808,5.0119705,6.9759479
6,15,0.0049603175,0,6919.9911,20.825011,6844.7133,6925.4082,0.00015926,3.573893e-05,0.0001143,0.000242,53.05438,0.0010386805,53.0532,53.0567,309.03666,2.6802938,304.7635,311.6905,110.55739,58.769141,86.7725,321.1954,90.887188,85.33953,6.6970936,342.60394,-1.8755572,0.60898735,-2.840976,-1.0958709,9.2248183,0.45254888,8.3442202,9.8661785,4.1853581,0.44290323,3.7259369,5.1789823
7,59,0.019510582,0,6912.8351,36.332042,6733.5503,6925.5845,0.00020718814,0.00018255873,6.58e-05,0.0010313,53.051817,0.0074834796,53.0014,53.0556,229.99274,7.9559444,221.2965,247.1533,105.39966,56.252486,18.1431,295.4316,177.81729,91.932384,5.2262379,357.82777,9.6349625,1.0332706,7.5747695,11.444968,7.2621413,1.1093974,5.6577158,9.5617161,4.7089063,0.65468121,3.6092134,6.0142369
8,21,0.0069444444,0,6909.1576,52.96216,6712.0255,6925.4107,0.00017859524,0.00013286483,0.000104,0.0007515,53.05241,0.0046380928,53.034,53.0557,243.13183,3.4399365,236.6536,246.6464,89.787957,29.749377,14.7614,195.8825,197.55934,133.37131,5.9352322,351.20507,7.9688215,0.59225979,7.1474271,9.0399075,8.3485715,0.51372496,7.5655618,9.4702778,6.335927,0.38997994,5.4106183,6.7870836
9,9,0.0029761905,0,6884.5094,81.967169,6716.776,6925.3601,0.00021835556,0.00015748325,0.0001169,0.000571,53.052389,0.0025575596,53.0475,53.0543,298.50818,2.6286137,294.9598,301.1635,122.10819,55.893481,89.1187,267.0366,94.106448,76.95593,8.5782072,284.89479,-0.56654257,0.22609864,-0.95145321,-0.18907024,10.117968,0.44516147,9.2982445,10.603126,4.6555749,0.41217075,4.196249,5.2809472
