global_cluster_id,count,mean,std,min,max
89,44,0.54461855,0.097173476,0.19910765,0.65935464
90,45,0.53562138,0.07267105,0.30846919,0.63059307
69,18,0.53023212,0.073507912,0.38070424,0.61384875
52,13,0.5126091,0.093267087,0.35248308,0.62176705
68,16,0.44537095,0.10257142,0.13511679,0.54402758
82,18,0.4444487,0.097968794,0.26998767,0.57326915
71,20,0.42869364,0.064706318,0.29745647,0.5178022
83,12,0.42613611,0.093904019,0.27493092,0.53765926
85,14,0.41963578,0.11093048,0.23920808,0.54355273
91,43,0.40742349,0.1218953,-0.20164203,0.50863679
27,9,0.40318335,0.17084043,-0.018583706,0.52273199
92,45,0.3999568,0.14150618,-0.090463957,0.54352074
76,18,0.39875448,0.095649997,0.2240503,0.5225268
87,20,0.39244566,0.09850531,0.19415082,0.51052731
93,46,0.38843967,0.11986269,0.15967551,0.54200343
86,17,0.36957212,0.084245645,0.22795405,0.47053933
81,19,0.34521519,0.046016854,0.24418998,0.3992814
72,19,0.3401062,0.11512772,0.12574605,0.47972694
23,10,0.33899706,0.13894973,0.009278189,0.45413558
74,19,0.33394001,0.05152267,0.24465052,0.42324072
51,15,0.32525384,0.084200924,0.21528772,0.43921885
59,15,0.32507334,0.17735576,-0.27419642,0.45077989
78,16,0.32419117,0.07222892,0.1793684,0.42232911
84,16,0.32373663,0.061025136,0.20073657,0.40199147
70,21,0.30688092,0.14944916,-0.19870515,0.44297412
75,17,0.30646502,0.11939313,0.11624968,0.45350957
38,16,0.30587287,0.15506595,-0.0020433443,0.48802447
88,18,0.30396365,0.064422081,0.15012353,0.3803729
80,18,0.28362545,0.06940071,0.10745295,0.38271748
77,20,0.275211,0.064264593,0.15571888,0.35630055
35,21,0.27498977,0.14399199,-0.028740708,0.44242617
47,18,0.23621749,0.17509487,-0.26193522,0.40422997
12,11,0.19407663,0.26449285,-0.28600898,0.46135967
29,13,0.18487524,0.1193339,-0.15395739,0.280556
79,19,0.1543592,0.050991501,0.02016507,0.20432027
6,15,0.14268431,0.308095,-0.5560395,0.41994055
32,18,0.13625308,0.26412365,-0.52786205,0.34177292
55,20,0.11947524,0.16198588,-0.21588657,0.34961732
67,24,0.077883519,0.086977514,-0.090404152,0.22331652
10,13,0.075974548,0.26242189,-0.43002303,0.32101298
61,47,0.053521274,0.32602369,-0.71558986,0.37716571
65,18,0.046527904,0.18957632,-0.32279594,0.21374389
50,35,0.038029873,0.32273968,-0.69078898,0.31089191
73,20,0.032637572,0.048363597,-0.040291544,0.08883407
63,16,0.027638053,0.21088365,-0.52600046,0.22705047
48,37,0.002574637,0.21218258,-0.31751023,0.25548715
62,48,-0.033510102,0.17418307,-0.3626594,0.16997218
64,25,-0.04467416,0.1464661,-0.21577729,0.22155827
18,21,-0.048146758,0.10122745,-0.20070102,0.1004116
60,82,-0.060421442,0.14772911,-0.35216078,0.17031396
25,38,-0.074774267,0.14963434,-0.41240463,0.13326833
43,21,-0.075747835,0.22338429,-0.49222478,0.19107215
46,26,-0.079989608,0.18626816,-0.43677292,0.16514292
45,28,-0.10544107,0.23718828,-0.50510028,0.24967263
28,14,-0.11382314,0.20341333,-0.40159747,0.11256822
37,87,-0.124008,0.1671706,-0.4149971,0.20762178
36,19,-0.1326088,0.068927747,-0.22470131,-0.03664628
66,39,-0.14673802,0.15405781,-0.38573543,0.12275228
19,46,-0.15007416,0.10566626,-0.26301305,0.087070466
57,48,-0.16403816,0.076585607,-0.33433158,-0.025538074
54,41,-0.1647597,0.17146016,-0.43030839,0.10784058
4,17,-0.16479958,0.12299436,-0.35107345,0.028873233
34,42,-0.17027757,0.081234457,-0.31344546,-0.04858417
31,18,-0.17335527,0.23334451,-0.5702069,0.10992898
58,71,-0.18711298,0.13318708,-0.53186919,0.028672503
30,79,-0.19371359,0.12346617,-0.43443081,0.04580108
49,27,-0.19843633,0.13791029,-0.41096258,-0.010435443
40,27,-0.21153699,0.11005611,-0.40655289,-0.0483705
44,18,-0.21172422,0.19880495,-0.51167689,0.019232109
17,20,-0.22089475,0.12594474,-0.48294538,-0.026691648
7,59,-0.22937926,0.093217321,-0.39769265,-0.05210361
3,38,-0.23199161,0.10147727,-0.39339206,-0.017848213
42,47,-0.23663915,0.16067289,-0.55072736,0.036957608
33,47,-0.24579796,0.13619249,-0.40799989,0.051077372
14,30,-0.26272174,0.098827886,-0.39435082,-0.024292895
2,9,-0.26895067,0.13647404,-0.35847402,-0.023196068
41,15,-0.26943199,0.1455642,-0.55510914,-0.013613657
8,21,-0.26998214,0.10681165,-0.41706605,-0.083282402
5,27,-0.2728551,0.13531564,-0.55465135,-0.046082872
56,23,-0.27500364,0.059509264,-0.41153342,-0.11670195
24,23,-0.27571611,0.16434827,-0.5668431,-0.053883576
39,13,-0.28124807,0.11958066,-0.4922845,-0.11347493
26,24,-0.29465548,0.1905361,-0.59281462,-0.017611152
13,58,-0.32496882,0.15938602,-0.5166402,0.0069195914
1,63,-0.33126147,0.14556751,-0.66876735,-0.0014658533
22,46,-0.34415546,0.12982385,-0.5354363,-0.055745639
16,31,-0.34530192,0.11381957,-0.44630062,-0.051803358
21,47,-0.35135191,0.14130126,-0.56205844,-0.027668619
15,21,-0.38305038,0.18323247,-0.56718827,-0.0026448917
20,24,-0.40270593,0.13338642,-0.5773301,-0.068359656
53,18,-0.42376088,0.16573171,-0.69302645,-0.070660809
9,9,-0.438477,0.20303611,-0.57077812,-0.072292554
11,33,-0.44548944,0.2832803,-0.69488032,0.062432946
